PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1630-4733,0.575971,2.23e-14,0.0827,9.90,498.00 ,-0.30
J1631-4155,0.551241,8.81e-18,0.014,0.19,235.00 ,-1.6
J1632-4509,1.046810,1.49e-14,0.018,0.16,412.00 ,-1.6
J1632-4621,1.709154,7.60e-14,0.0119,0.80,562.90 ,-1.80
J1632-4757,0.228564,1.51e-14,0.017,0.51,574.20 ,-1.6
J1632-4818,0.813453,6.50e-13,0.0477,0.48,758.00 ,-1.6
J1633-4453,0.436507,6.20e-15,0.0076,2.60,474.10 ,-1.6
J1633-4805,0.710830,7.69e-14,0.048,0.23,1120.00 ,-1.6
J1633-5015,0.352142,3.79e-15,0.0062,7.60,398.41 ,-2.20
J1634-5107,0.507356,1.57e-15,0.015,0.05,372.80 ,-1.6
J1634-5640,0.224201,4.10e-17,0.0075,0.30,148.00 ,-1.6
J1635-1511,1.179387,2.32e-16,0.0344,0.50,54.00 ,-1.6
J1635+2418,0.490507,1.19e-16,0.0174,0.40,24.27 ,-2.10
J1635-4513,1.594746,3.60e-15,0.075,0.25,416.00 ,-1.6
J1635-4944,0.671964,8.79e-15,0.04,0.40,474.00 ,-1.6
J1635-5954,0.529121,1.37e-15,0.0232,1.80,134.90 ,-3.35
J1636-4440,0.206649,4.67e-14,0.0101,0.29,449.00 ,-1.6
J1636-4803,1.204644,2.07e-14,0.044,1.10,503.00 ,-2.00
J1636-4933,0.430367,1.51e-15,0.017,0.45,542.70 ,-4.28
J1637-4335,0.771367,3.62e-15,0.04,0.18,608.00 ,-1.6
J1637-4450,0.252870,5.75e-16,0.014,0.40,470.70 ,-1.6
J1637-4553,0.118771,3.19e-15,0.0031,1.50,193.23 ,-1.60
J1637-4642,0.154027,5.92e-14,0.0151,0.93,419.10 ,-0.60
J1637-4721,1.165741,4.44e-15,0.021,0.42,448.00 ,-2.41
J1637-4816,0.837365,5.83e-15,0.067,0.74,738.00 ,-1.6
J1638-3815,0.698261,7.70e-17,0.057,0.67,238.00 ,-2.26
J1638-3951,0.771130,5.90e-16,0.0617,0.21,249.00 ,-1.6
J1638-4344,1.121944,2.50e-17,0.034,0.17,237.00 ,-1.6
J1638-4417,0.117802,1.61e-15,0.0046,0.30,436.40 ,-1.6
J1638-4608,0.278137,5.15e-14,0.0052,0.45,423.10 ,-1.6
J1638-4725,0.763933,4.79e-15,0.054,0.32,552.10 ,-1.6
J1638-5226,0.340503,2.65e-15,0.013,0.60,170.10 ,-2.29
J1639-4359,0.587559,1.50e-17,0.024,0.92,258.90 ,-2.30
J1639-4604,0.264558,2.89e-15,0.0187,1.00,258.91 ,-2.40
J1640+2224,0.003163,2.82e-21,0.00022,2.00,18.46 ,-2.00
J1640-4648,0.178352,8.06e-16,0.015,0.26,474.00 ,-1.6
J1640-4715,0.517405,4.20e-14,0.0213,1.56,586.32 ,-1.10
J1640-4951,0.739099,3.34e-16,0.013,0.15,411.40 ,-1.6
J1641-2347,1.091008,4.11e-17,0.047,1.90,27.70 ,-1.6
J1643-1224,0.004622,1.85e-20,0.000314,4.80,62.41 ,-1.90
J1643-4505,0.237383,3.18e-14,0.0065,0.45,478.60 ,-0.50
J1643-4522,1.347899,8.28e-15,0.021,0.11,482.00 ,-1.6
J1643-4550,0.717508,3.00e-14,0.015,0.34,450.80 ,-1.6
J1644-4559,0.455060,2.01e-14,0.008,300.00,478.80 ,-2.90
J1644-4657,0.125962,7.50e-16,0.0403,0.59,718.00 ,-1.6
J1645-0317,0.387690,1.78e-15,0.0034,11.50,35.76 ,-2.30
J1646-4308,0.840680,1.10e-16,0.185,0.33,595.00 ,-1.6
J1646-4346,0.231603,1.13e-13,0.0109,1.25,490.40 ,-1.40
J1646-5123,0.530075,2.10e-15,0.015,0.17,279.00 ,-1.6
J1646-6831,1.785611,1.70e-15,0.0749,4.90,43.00 ,-1.90
J1647-3607,0.212316,1.29e-16,0.01,0.20,224.00 ,-1.6
J1648-3256,0.719455,3.53e-15,0.0098,0.70,128.28 ,-1.6
J1648-4458,0.629632,1.85e-15,0.042,0.55,925.00 ,-2.20
J1648-4611,0.164950,2.37e-14,0.0109,0.61,392.30 ,-1.6
J1648-6044,0.583765,4.29e-16,0.0102,0.70,106.20 ,-1.6
J1649-3805,0.262026,3.67e-17,0.0066,1.60,213.80 ,-2.12
J1649-3935,0.770910,3.91e-17,0.0228,0.05,290.00 ,-1.6
J1649-4349,0.870712,4.40e-17,0.026,0.75,398.60 ,-1.6
J1649-4653,0.557019,4.97e-14,0.0119,0.37,331.00 ,-1.20
J1649-4729,0.297692,6.55e-15,0.018,0.29,540.20 ,-1.6
J1649-5553,0.613571,1.70e-15,0.0479,1.40,180.40 ,-1.6
J1650-1654,1.749552,3.20e-15,0.0442,1.10,43.25 ,-1.6
J1650-4126,0.308918,1.98e-17,0.0076,0.29,251.50 ,-1.6
J1650-4341,0.309398,1.67e-17,0.02,0.26,673.00 ,-1.6
J1650-4502,0.380870,1.61e-14,0.0052,0.61,320.20 ,-1.6
J1650-4921,0.156399,1.82e-15,0.0024,0.29,229.30 ,0.10
J1651-1709,0.973394,3.04e-15,0.0274,0.30,33.46 ,-2.50
J1651-4246,0.844081,4.81e-15,0.1022,21.40,482.00 ,-2.10
J1651-4519,0.517443,8.19e-15,0.052,0.54,562.00 ,-1.6
J1651-5222,0.635056,1.81e-15,0.0161,4.10,179.10 ,-1.40
J1651-5255,0.890534,2.07e-15,0.0208,3.30,164.00 ,-3.11
J1651-7642,1.755311,1.36e-15,0.0756,0.70,80.00 ,-1.6
J1652-1400,0.305447,1.76e-17,0.0095,0.40,49.50 ,-1.6
J1652-2404,1.703739,3.16e-15,0.0298,1.60,68.41 ,-1.70
J1653-3838,0.305037,2.79e-15,0.0024,2.00,207.20 ,-0.70
J1653-4030,1.019372,4.36e-16,0.125,0.40,425.00 ,-1.6
J1653-4249,0.612558,4.81e-15,0.0119,1.50,416.10 ,1.00
J1653-4315,0.419280,1.50e-17,0.105,0.53,337.00 ,-1.6
J1653-4854,3.059510,3.45e-15,0.075,0.18,354.00 ,-1.6
J1654-2713,0.791822,1.68e-16,0.0117,0.30,92.31 ,-1.6
J1654-3710,0.939165,7.35e-16,0.018,0.22,302.00 ,-1.6
J1654-4140,1.273945,1.30e-16,0.019,0.71,307.00 ,-1.6
J1654-4245,1.101555,5.12e-14,0.031,0.14,950.00 ,-1.6
J1655-3048,0.542936,3.66e-17,0.0816,2.20,154.30 ,-1.6
J1655-3844,1.193439,2.00e-15,0.0955,0.25,365.00 ,-1.6
J1656-3621,0.730134,1.28e-15,0.02,0.29,229.00 ,-1.6
J1657-4432,0.609607,8.20e-15,0.013,0.38,375.30 ,-1.6
J1658-4306,1.166449,4.28e-14,0.097,0.80,845.00 ,-1.6
J1658-4958,0.416874,3.86e-15,0.0122,1.60,193.40 ,-2.56
J1659-4316,0.474381,1.71e-16,0.011,0.21,640.90 ,-1.6
J1659-4439,0.353293,2.50e-17,0.018,0.42,535.00 ,-1.10
J1700-3312,1.358307,4.71e-15,0.0317,1.60,166.97 ,-1.80
J1700-3611,1.494091,4.32e-15,0.0203,0.80,232.70 ,-2.27
J1700-3919,0.560504,5.03e-18,0.014,0.23,354.30 ,-1.6
J1700-4012,0.283792,9.91e-17,0.016,0.13,385.00 ,-1.6
J1700-4422,0.755535,4.00e-17,0.0472,0.30,425.00 ,-1.6
J1700-4939,0.578363,1.08e-15,0.013,0.17,278.00 ,-1.6
J1701-3726,2.454609,1.11e-14,0.0409,4.10,303.40 ,-2.00
J1701-4533,0.322909,5.19e-16,0.0183,3.10,526.00 ,-1.40
J1701-4958,0.804304,1.10e-16,0.1287,0.26,230.00 ,-1.6
J1702-3932,0.390328,3.78e-16,0.014,0.30,530.00 ,-1.6
J1702-4128,0.182136,5.23e-14,0.01,1.17,367.10 ,-0.20
J1702-4217,0.227565,1.14e-17,0.041,0.50,629.00 ,-1.23
J1702-4306,0.215507,9.79e-15,0.0059,0.46,538.40 ,-1.6
J1702-4310,0.240524,2.24e-13,0.0115,0.92,377.60 ,-1.10
J1702-4428,2.123506,3.30e-15,0.074,0.38,395.00 ,-1.6
J1703-1846,0.804341,1.73e-15,0.0114,0.70,49.55 ,-2.00
J1703-3241,1.211785,6.60e-16,0.0377,8.70,110.31 ,-3.10
J1703-4442,1.747293,1.43e-14,0.012,0.21,280.20 ,-1.6
J1703-4851,1.396401,5.08e-15,0.0097,1.40,150.29 ,-2.30
J1705-1906,0.298987,4.14e-15,0.1542,9.30,22.91 ,-1.30
J1705-3423,0.255426,1.08e-15,0.0117,5.30,146.36 ,-1.60
J1705-3936,0.854482,1.93e-14,0.022,0.33,598.00 ,-1.6
J1705-3950,0.318941,6.06e-14,0.0221,1.60,207.25 ,-0.84
J1705-4108,0.861067,3.47e-14,0.0404,1.30,1077.00 ,-0.40
J1705-4331,0.222561,7.12e-17,0.01,0.40,185.24 ,-1.6
J1705-6135,0.808546,6.00e-17,0.1657,0.40,95.00 ,-1.6
J1706-3839,0.586287,3.00e-15,0.026,0.20,626.00 ,-1.6
J1706-4310,0.616979,6.51e-15,0.016,0.28,656.10 ,-1.6
J1707-4053,0.581017,1.92e-15,0.0307,10.20,360.00 ,-2.10
J1707-4341,0.890594,5.70e-15,0.012,0.46,398.20 ,-1.85
J1707-4729,0.266474,1.56e-15,0.0047,2.40,268.30 ,-1.40
J1708-3426,0.692113,4.20e-15,0.021,2.00,190.70 ,-2.60
J1708-3506,0.004505,1.14e-20,0.00055,1.31,146.73 ,-1.6
J1708-3641,0.587567,1.35e-16,0.0218,0.12,316.00 ,-1.6
J1708-3827,1.225782,8.60e-15,0.04,0.42,788.00 ,-2.53
J1708-4522,1.297837,2.61e-15,0.017,0.22,454.00 ,-1.6
J1709-1640,0.653054,6.31e-15,0.0076,14.50,24.89 ,-2.00
J1709+2313,0.004631,3.63e-21,0.00034,0.20,25.35 ,-1.6
J1709-3626,0.447857,2.27e-15,0.017,0.58,393.60 ,-0.84
J1709-3841,0.586986,7.86e-15,0.019,0.31,356.00 ,-1.6
J1709-4342,1.735898,8.00e-16,0.05,0.14,281.00 ,-1.6
J1709-4401,0.865235,7.37e-15,0.0101,0.80,225.80 ,-1.6
J1709-4429,0.102459,9.30e-14,0.0057,12.10,75.68 ,-0.80
J1710-2616,0.954158,2.00e-17,0.0875,0.90,111.00 ,-1.6
J1710-4148,0.286561,1.02e-16,0.012,0.31,461.00 ,-1.6
J1711-1509,0.868804,1.10e-15,0.0122,0.70,59.88 ,-1.70
J1711-3826,0.465365,7.41e-15,0.024,0.16,376.00 ,-1.6
J1711-4322,0.102618,2.67e-17,0.007,0.26,191.50 ,-1.6
J1713+0747,0.004570,8.53e-21,0.00011,10.20,15.92 ,-1.40
J1713-3844,1.600114,1.77e-13,0.017,0.26,544.00 ,-1.6
J1714-1054,0.696279,5.88e-17,0.0062,0.50,51.00 ,-1.6
J1715-3247,1.260214,9.20e-17,0.06,0.08,164.00 ,-1.6
J1715-3700,0.779628,1.46e-16,0.11,0.37,449.00 ,-1.6
J1715-3859,0.928108,4.40e-15,0.062,0.54,817.00 ,-1.6
J1715-3903,0.278481,3.77e-14,0.0054,0.66,314.00 ,-1.6
J1715-4034,2.072153,3.01e-15,0.0771,1.90,254.00 ,-2.20
J1715-4254,0.573745,8.76e-16,0.026,0.07,407.00 ,-1.6
J1716-3720,0.630314,1.80e-14,0.014,0.41,682.70 ,-3.75
J1716-4005,0.311813,2.87e-15,0.0134,1.40,435.00 ,-1.6
J1716-4111,1.036067,2.88e-15,0.012,0.22,245.80 ,-1.6
J1716-4711,0.555824,8.33e-16,0.0032,0.30,287.06 ,-1.6
J1717-3425,0.656299,9.80e-15,0.0115,3.90,587.70 ,-2.40
J1717-3737,0.682419,5.29e-15,0.022,0.69,525.80 ,-1.6
J1717-3847,1.149499,8.20e-16,0.287,0.30,707.00 ,-1.6
J1717-3953,1.085521,3.30e-17,0.3097,1.50,466.00 ,-3.33
J1717-4043,0.397857,1.22e-14,0.041,0.54,452.60 ,-1.6
J1717-40435,0.349929,1.75e-15,0.038,0.41,539.00 ,-1.6
J1717-4054,0.887719,3.68e-15,0.0096,1.10,306.90 ,-1.40
J1717-5800,0.321793,1.96e-16,0.0114,0.50,125.22 ,-1.6
J1718-3714,1.289379,2.62e-14,0.096,0.23,833.00 ,-1.6
J1718-3718,3.378574,1.61e-12,0.152,0.40,371.10 ,-3.69
J1718-3825,0.074670,1.32e-14,0.0016,1.70,247.46 ,-0.50
J1718-4539,0.590473,7.51e-15,0.011,0.08,254.00 ,-1.6
J1719-1438,0.005790,8.04e-21,0.0003,0.42,36.86 ,-1.6
J1719-4006,0.189094,1.67e-15,0.0051,1.40,386.60 ,-1.50
J1719-4302,0.235475,3.92e-16,0.0057,0.37,297.70 ,-3.33
J1720-0212,0.477715,8.28e-17,0.059,1.00,66.98 ,-2.20
J1720-1633,1.565601,5.80e-15,0.0162,1.10,44.83 ,-2.10
J1720-2933,0.620448,7.46e-16,0.0145,2.20,42.64 ,-2.30
J1720-3659,0.351125,3.27e-17,0.0075,0.74,381.60 ,-1.6
J1721-1936,1.004037,1.62e-15,0.0206,0.30,75.70 ,-1.6
J1721-2457,0.003497,5.54e-21,0.00092,0.58,47.76 ,-1.50
J1721-3532,0.280424,2.52e-14,0.0298,16.80,496.00 ,-0.80
J1722-3207,0.477158,6.46e-16,0.0052,5.40,126.06 ,-2.01
J1722-3632,0.399183,4.46e-15,0.0187,2.70,416.20 ,-1.6
J1722-3712,0.236173,1.09e-14,0.0037,3.80,99.49 ,-2.20
J1722-4400,0.218554,3.74e-16,0.0037,0.22,219.30 ,-1.6
J1723-2837,0.001856,7.54e-21,0.0002,1.10,19.69 ,-1.6
J1723-2852,0.625034,9.00e-16,0.05,0.13,172.00 ,-1.6
J1723-3659,0.202722,8.01e-15,0.0069,2.10,254.40 ,-0.80
J1724-3149,0.948237,7.25e-15,0.032,0.36,409.00 ,-1.49
J1724-3505,1.221708,2.11e-14,0.024,0.24,875.00 ,-1.6
J1724-4500,1.309109,3.51e-15,0.028,0.05,182.00 ,-1.6
J1725-2852,1.257788,1.99e-15,0.038,0.25,161.00 ,-1.6
J1725-3546,1.032471,1.50e-14,0.033,0.61,744.00 ,-4.07
J1725-3848,2.062386,2.30e-14,0.032,0.14,230.00 ,-1.6
J1725-4043,1.465071,2.79e-15,0.05,0.34,203.00 ,-1.6
J1726-3530,1.110132,1.22e-12,0.037,0.39,718.00 ,-1.6
J1726-3635,0.287432,1.44e-15,0.0078,0.29,539.20 ,-1.6
J1726-4006,0.882778,3.33e-15,0.02,0.21,277.00 ,-1.6
J1727-2739,1.293100,1.10e-15,0.0873,1.70,147.00 ,-2.04
J1727-2946,0.027083,2.46e-19,0.0018,0.25,60.74 ,-1.6
J1728-3733,0.615538,7.20e-17,0.0081,0.19,281.50 ,-1.6
J1728-4028,0.866343,2.33e-16,0.0965,1.20,231.00 ,-2.82
J1730-2304,0.008123,2.02e-20,0.000965,3.00,9.62 ,-1.60
J1730-2900,1.538427,8.85e-15,0.023,0.13,289.00 ,-1.6
J1730-3350,0.139460,8.48e-14,0.0071,4.30,261.29 ,-1.80
J1730-3353,3.270242,2.20e-14,0.054,0.38,256.00 ,-4.08
J1731-1847,0.002345,2.54e-20,0.00013,0.37,106.47 ,-1.6
J1731-3123,0.753048,1.68e-15,0.019,0.29,354.00 ,-1.6
J1731-3322,0.544671,2.81e-14,0.0335,0.10,877.40 ,-1.6
J1731-4744,0.829829,1.64e-13,0.0171,27.00,123.06 ,-1.6
J1732-1930,0.483770,1.82e-16,0.016,0.30,72.43 ,-1.6
J1732-3426,0.332887,4.02e-16,0.014,0.24,513.50 ,-1.6
J1732-3729,2.184001,1.30e-15,0.04,0.31,317.00 ,-1.6
J1732-4128,0.627981,1.28e-14,0.0134,1.10,195.30 ,-2.76
J1732-4156,0.323434,6.61e-16,0.021,0.22,228.70 ,-1.6
J1732-5049,0.005313,1.42e-20,0.000292,1.70,56.84 ,-1.6
J1733-2228,0.871683,4.27e-17,0.0613,4.00,41.14 ,-1.90
J1733-2533,0.659794,2.10e-15,0.036,0.10,242.00 ,-1.6
J1733-2837,0.768185,1.11e-15,0.012,0.07,225.00 ,-1.6
J1733-3030,0.362052,1.65e-15,0.016,0.20,636.00 ,-1.6
J1733-3322,1.245915,4.10e-15,0.0343,0.80,524.00 ,-1.80
J1733-3716,0.337594,1.50e-14,0.0039,3.60,153.18 ,-0.60
J1733-4005,0.561778,3.62e-15,0.014,0.49,317.80 ,-3.32
J1733-5515,1.011234,4.00e-16,0.0455,0.30,83.90 ,-1.6
J1734-3058,0.541286,1.62e-17,0.0107,0.11,260.00 ,-1.6
J1734-3333,1.169341,2.28e-12,0.2306,0.49,578.00 ,-0.50
J1735-0724,0.419335,1.21e-15,0.0045,2.30,73.51 ,-1.80
J1735-3258,0.350963,2.61e-14,0.0953,0.35,758.00 ,-0.10
J1736-2457,2.642223,3.43e-15,0.06,0.84,170.00 ,-3.24
J1736-2819,1.592419,1.49e-14,0.021,0.16,261.00 ,-1.6
J1736-2843,6.445036,3.00e-14,0.145,0.43,331.00 ,-3.16
J1736-3511,0.502803,1.57e-15,0.015,0.18,106.00 ,-1.6
J1737-3102,0.768672,3.73e-14,0.015,0.60,280.00 ,-2.26
J1737-3137,0.450432,1.39e-13,0.0163,0.88,488.10 ,-2.00
J1737-3320,0.816273,2.25e-15,0.042,0.35,804.00 ,-1.6
J1737-3555,0.397585,6.12e-15,0.0054,1.00,89.41 ,-1.20
J1738+0333,0.005850,2.41e-20,0.00043,0.67,33.77 ,-1.6
J1738-2647,0.349591,3.15e-15,0.012,0.44,182.20 ,-2.74
J1738-2736,0.627716,4.62e-15,0.0137,0.17,323.60 ,-1.6
J1738-2955,0.443398,8.19e-14,0.006,0.24,223.40 ,-1.6
J1738-3107,0.549498,2.96e-16,0.034,0.26,735.00 ,-1.6
J1738-3211,0.768499,7.95e-16,0.0113,2.40,49.59 ,-0.90
J1738-3316,0.730373,8.86e-17,0.091,0.55,273.00 ,-3.83
J1739+0612,0.234169,1.56e-16,0.0096,0.80,101.50 ,-1.6
J1739-1313,1.215698,8.17e-17,0.0071,0.90,58.20 ,-1.6
J1739-2903,0.322882,7.88e-15,0.006,4.50,138.55 ,-1.30
J1739-3023,0.114368,1.14e-14,0.0029,1.01,170.50 ,-1.50
J1739-3049,0.239317,2.18e-15,0.0188,0.50,573.20 ,-1.6
J1739-3131,0.529441,1.86e-14,0.0207,6.20,600.10 ,-0.90
J1739-3159,0.877561,1.97e-16,0.0558,1.40,337.00 ,-2.21
J1739-3951,0.341772,1.99e-17,0.0094,0.12,24.60 ,-1.6
J1740+1000,0.154087,2.15e-14,0.0084,2.70,23.90 ,-0.70
J1740+1311,0.803050,1.45e-15,0.0259,2.10,48.67 ,-1.40
J1740-2540,1.692656,1.85e-15,0.03,0.16,333.00 ,-1.6
J1740-3015,0.606887,4.66e-13,0.0024,8.90,151.96 ,-1.11
J1740-3052,0.570313,2.55e-14,0.0089,0.70,738.78 ,-3.39
J1740-3327,0.515001,3.90e-15,0.011,0.30,274.10 ,-1.6
J1741-0840,2.043082,2.27e-15,0.0579,1.40,74.90 ,-2.50
J1741+1351,0.003747,3.02e-20,0.00016,0.93,24.20 ,-1.6
J1741-2719,0.346797,8.06e-17,0.014,0.20,361.90 ,-1.6
J1741-2733,0.892959,1.48e-16,0.0409,1.80,149.20 ,-2.20
J1741-2945,0.223558,6.34e-16,0.0107,0.60,310.30 ,-1.6
J1741-3016,1.893749,8.99e-15,0.0352,2.00,382.00 ,-2.40
J1741-3927,0.512211,1.93e-15,0.0105,5.50,158.50 ,-1.60
J1742-3957,1.016349,8.16e-17,0.066,0.14,186.00 ,-1.6
J1742-4616,0.412401,3.38e-17,0.0218,1.50,115.96 ,-1.6
J1743-0339,0.444645,1.56e-15,0.0065,0.50,30.26 ,-1.10
J1743-1351,0.405337,4.78e-16,0.0146,0.50,116.30 ,-2.00
J1743-2442,1.242508,4.72e-16,0.075,0.14,239.00 ,-1.6
J1743-3150,2.414576,1.21e-13,0.0423,2.10,193.05 ,-0.90
J1743-3153,0.193105,1.06e-14,0.0117,0.60,505.70 ,-1.6
J1743-4212,0.306167,7.83e-16,0.0089,1.90,131.94 ,-1.6
J1744-1134,0.004075,8.93e-21,0.000137,13.00,3.14 ,-1.70
J1744-2335,1.683507,8.33e-16,0.026,0.20,96.66 ,-1.6
J1744-3130,1.066061,2.12e-14,0.016,0.70,192.90 ,-1.10
J1744-3922,0.172444,1.55e-18,0.0034,0.11,148.10 ,-1.6
J1744-5337,0.355666,1.90e-16,0.0076,0.40,108.85 ,-1.6
J1745-0952,0.019376,9.25e-20,0.0018,0.38,64.47 ,-1.14
J1745-2229,1.160593,2.86e-15,0.014,0.13,299.00 ,-1.6
J1745-3040,0.367432,1.07e-14,0.0061,21.00,88.37 ,-1.20
J1745-3812,0.698353,2.43e-15,0.0081,0.20,160.80 ,-1.6
J1746-2849,1.478480,1.27e-14,0.031,0.40,1456.00 ,-1.10
J1746-2850,1.077101,1.34e-12,0.045,0.80,962.70 ,-0.30
J1747-2647,0.500254,1.32e-14,0.066,1.54,570.00 ,-1.6
J1747-2802,2.780079,2.37e-15,0.0273,0.50,835.00 ,-1.6
J1747-2958,0.098814,6.13e-14,0.007,0.25,101.50 ,-1.6
J1748-1300,0.394133,1.21e-15,0.0123,2.00,99.36 ,-1.80
J1748-2021A,0.288603,3.99e-16,0.087,0.37,219.40 ,-1.6
J1748-2444,0.442838,1.11e-16,0.0052,0.34,207.33 ,-1.6
J1749-2347,0.874486,2.42e-15,0.0091,0.13,344.00 ,-1.6
J1749-2629,1.335388,1.72e-15,0.0464,0.70,409.00 ,-2.38
J1749-3002,0.609874,7.87e-15,0.0417,4.10,509.40 ,-1.60
J1749-4931,0.445822,5.90e-16,0.0052,0.10,55.29 ,-1.6
J1750-2043,5.639047,7.95e-15,0.36,0.24,239.00 ,-1.6
J1750-2438,0.712794,1.08e-14,0.0096,0.50,476.00 ,-3.82
J1750-2444,0.899377,2.64e-16,0.032,0.27,331.00 ,-1.6
J1750-28,1.300513,5.78e-15,0.0168,0.09,388.00 ,-1.6
J1750-3157,0.910363,1.97e-16,0.0071,1.70,206.34 ,-1.20
J1750-3503,0.684014,3.81e-17,0.067,0.79,189.35 ,-1.6
J1751-2516,0.394836,2.64e-15,0.0273,0.22,556.00 ,-1.6
J1751-3323,0.548227,8.83e-15,0.0059,1.90,296.70 ,-1.53
J1751-4657,0.742352,1.29e-15,0.0115,6.60,20.40 ,-1.6
J1752-2410,0.191037,6.18e-16,0.0071,0.47,508.30 ,-1.6
J1752-2806,0.562558,8.13e-15,0.0061,47.80,50.37 ,-1.70
J1752-2821,0.640229,3.47e-15,0.0115,0.32,516.30 ,-1.6
J1753-1914,0.062955,2.02e-18,0.011,0.13,105.30 ,-1.6
J1753-2240,0.095138,9.70e-19,0.003,0.15,158.60 ,-1.6
J1753-2501,0.528336,1.41e-14,0.057,2.30,672.00 ,-1.00
J1754-3443,0.361691,5.71e-16,0.012,0.49,187.70 ,-1.82
J1754-3510,0.392704,7.82e-16,0.0041,0.47,82.30 ,-1.6
J1755-1650,0.733744,6.86e-16,0.012,0.13,159.90 ,-1.6
J1755-2025,0.322231,4.42e-15,0.006,0.18,364.30 ,-1.6
J1755-2521,1.175968,9.02e-14,0.0134,0.70,252.00 ,-1.6
J1755-25211,1.004513,3.12e-14,0.02,0.17,835.00 ,-1.6
J1755-2534,0.233541,1.12e-14,0.015,0.17,590.00 ,-1.6
J1755-2550,0.315196,2.43e-15,0.0117,0.20,750.90 ,-1.6
J1755-26,0.430872,1.23e-14,0.0163,0.14,405.00 ,-1.6
J1755-2725,0.261955,1.37e-17,0.0238,0.50,115.00 ,-1.74
J1755-3716,0.012786,3.11e-20,0.0039,0.53,167.60 ,-1.6
J1756+1822,0.744001,5.13e-16,0.032,0.01,70.80 ,-1.6
J1756-2225,0.404980,5.27e-14,0.019,0.25,329.00 ,-1.6
J1756-2251,0.028462,1.02e-18,0.00078,0.60,121.20 ,-1.67
J1756-2435,0.670480,2.85e-16,0.025,2.00,367.10 ,-1.50
J1756-2619,0.724514,1.24e-15,0.018,0.10,534.00 ,-1.6
J1757-1854,0.021497,2.63e-18,0.0004,0.25,378.20 ,-1.6
